Permethrin,Scabies
Blood Pressure Monitor/L Cuff,Hysterectomy
Famciclovir,Tobacco Use
Novofine 31,Hypertension
Integra Plus,Hyperlipidemia
Nova Max Glucose Test,Hyperlipidemia
Ultracet,Tobacco Use
Avandamet,Esophageal Reflux
Dilt-CD,Esophageal Reflux
Multi Vitamin/Minerals,Alcohol
Acular LS,Normal Routine History And Physical Geriatric (80 +)
Caltrate 600+D,Esophageal Reflux
Naproxen DR,Tobacco Use
Cortisporin,Drug Use
Lodine,Drug Use
Red Yeast Rice,Drug Use
Loratadine-Pseudoephedrine,Migraine Headache
Calcium 500+D,Tobacco Use
Botox,Drug Use
Reclast,Drug Use
Clarinex-D 12 Hour,Esophageal Reflux
Calcium Magnesium,Alcohol
Aspirin EC Low Dose,Coronary Artery Disease
Citrucel,Drug Use
Rondex-DM,Drug Use
Zonegran,Alcohol
Mentax,Hypertension
Milk of Magnesia,Anemia
Sotalol HCl (AF),Alcohol Use
Tylenol Arthritis Ext Relief,Hypothyroidism
AcetaZOLAMIDE,Drug Use
Butalbital-ASA-Caffeine,Alcohol
Maxalt-MLT,Tobacco Use
Repliva 21/7,Alcohol
Halobetasol Propionate,Allergic Rhinitis
Aranesp (Alb Free) SureClick,Hypertension
NIFEdipine CR,Hypertension
Phenytoin Sodium,Drug Use
Proventil,Drug Use
Synvisc One,Ankle Joint Pain
HumuLIN R U-500 (CONCENTRATED),Hypertension
Azmacort,Hyperlipidemia
Guaifenesin/PSE SA,Hyperlipidemia
Vitamin B12 TR,Hyperlipidemia
Zantac,Drug Use
Cholestyramine,Alcohol
Co Q 10,Depression
Amerge,Depression
Duet DHA EC,Tobacco Use
Etodolac,Hyperlipidemia
Proctofoam HC,Diabetes Mellitus
Atrovent,Essential Hypertension
Phenytoin Sodium,Essential Hypertension
FiberCon,Never Smoked
Chromagen Forte,Marital History - Currently Married
Gentamicin Sulfate,Hypertension
Azilect,Drug Use
Fioricet,Essential Hypertension
Nystop,Essential Hypertension
Trileptal,Drug Use
Docusate Calcium,Normal Routine History And Physical Geriatric (80 +)
Hydrocortisone Valerate,Esophageal Reflux
Citracal,Drug Use
Wheelchair,Drug Use
CoQ10,Normal Routine History And Physical Geriatric (80 +)
Azilect,Hypertension
Cartia XT,Occupation:
Multi-Vitamin,Diabetes Mellitus
Folbee,Alcohol
Cutivate,Child Enrolled In Day-care
RisperDAL,Hypertension
BD Logic Blood Glucose Monitor,Diabetes Mellitus
Diflorasone Diacetate,Diabetes Mellitus
FerraPlus 90,Diabetes Mellitus
Flax,Diabetes Mellitus
NovoLIN N PenFill,Diabetes Mellitus
Betamethasone Dipropionate,Essential Hypertension
Sinemet,Essential Hypertension
Tessalon Perles,Diabetes Mellitus
Naprosyn,Diabetes Mellitus
Antara,Hypothyroidism
Tylenol Arthritis Pain,Hypothyroidism
Kapidex,Hysterectomy
Pyridostigmine Bromide,Hysterectomy
Cerefolin,Essential Hypertension
Fortical,Essential Hypertension
Nicotrol,Essential Hypertension
Stalevo 125,Essential Hypertension
Theophylline,Essential Hypertension
Zebeta,Essential Hypertension
Amitiza,Tobacco Use
Calcium D-Glucarate,Drug Use
Grape Flavor,Drug Use
Piroxicam,Allergic Rhinitis
Cutivate,Allergic Rhinitis
Zaleplon,Allergic Rhinitis
Budeprion SR,Drug Use
Zyrtec-D,Hyperlipidemia
Ciprofloxacin-Ciproflox HCl,Benign Essential Hypertension
Levora 0.15/30 (28),Diabetes Mellitus
Alvesco,Alcohol Use
Chondroitin Complex,Alcohol Use
Super B Complex,Alcohol Use
Tessalon,Alcohol Use
Amphetamine-Dextroamphetamine,Depression
Neoral,Tobacco Use
Carbatrol,Stroke Syndrome
Lidex,Alcohol
Sudafed,Alcohol
Cardizem,Heart Disease
Brimonidine Tartrate,Depression
Brovana,Depression
Ketek,Depression
Tylenol with Codeine #4,Occupation:
Santyl,Coronary Artery Disease
Tylenol PM Extra Strength,Essential Hypertension
Optivar,Hyperlipidemia
Hytrin,Stroke Syndrome
Megace ES,Hyperlipidemia
CoQ-10,Normal Routine History And Physical Geriatric (80 +)
Lescol XL,Normal Routine History And Physical Geriatric (80 +)
Paxil CR,Tobacco Use
Cardura XL,Hyperlipidemia
HumuLIN 50/50,Hyperlipidemia
Calcium 1200,Heart Disease
Citracal Plus,Heart Disease
CefTRIAXone Sodium,Alcohol
Lortab,Hyperlipidemia
Desoximetasone,Diabetes Mellitus
Flax Seed Oil,Diabetes Mellitus
Cenestin,Tobacco Use
Toviaz,Heart Disease
Bicillin C-R,Allergic Rhinitis
Echinacea,Drug Use
Iodosorb,Drug Use
Nora-BE,Drug Use
Pseudoephedrine-APAP,Drug Use
Benazepril-Hydrochlorothiazide,Occupation:
Ziac,Benign Essential Hypertension
Melatonin,Diabetes Mellitus
Clopidogrel Bisulfate,Stroke Syndrome
Citric Acid-Sodium Citrate,Diabetes Mellitus
Pseudoephedrine HCl,Alcohol
Helidac,Diabetes Mellitus
Sudafed,History Of Prior Surgery
Didanosine,Alcohol
Penlac,Alcohol
Robaxin,Alcohol
Desonide,Alcohol Use
Clotrimazole AF,Hypertension
Caltrate 600 + D,Drug Use
Cogentin,Obesity
Depakote ER,Hypertension
Pseudoephedrine HCl,Hyperlipidemia
Atacand,Occupation:
Combivir,Hypertension
Drisdol,Hypertension
Lotrel 10/40 Capsule,Hypertension
Synvisc,Essential Hypertension
ZyPREXA,Hyperlipidemia
Sinemet,Drug Use
Inderal,Hypertension
Prochlorperazine Maleate,Essential Hypertension
Biaxin XL,Allergic Rhinitis
Acidophilus,Normal Routine History And Physical Geriatric (80 +)
Naproxen Sodium,Essential Hypertension
Glycopyrrolate,Diabetes Mellitus
Acarbose,Hyperlipidemia
Estrace,Alcohol Use
Antipyrine-Benzocaine,Diabetes Mellitus
Apidra SoloStar,Diabetes Mellitus
Clotrimazole AF,Diabetes Mellitus
Catapres-TTS-3,Normal Routine History And Physical Geriatric (80 +)
CoQ10,Essential Hypertension
Butorphanol Tartrate,Depression
LaMICtal Starter,Depression
Mephyton,Anemia
Zantac 75,Tonsillectomy
Lopid,Esophageal Reflux
Progesterone,Marital History - Currently Married
BiDil,Diabetes Mellitus
Carafate,Asthma
Fluvirin,Diabetes Mellitus
Femhrt Low Dose,Breast Cancer
Augmentin XR,Essential Hypertension
Hydrocod Polst-Chlorphen Polst,Hysterectomy
Entex PSE,Hyperlipidemia
Flaxseed Oil,Marital History - Currently Married
Anusol HC-1,Drug Use
Chlorpheniramine-Phenylephrine,Drug Use
Est Estrogens-Methyltest DS,Drug Use
Fioricet/Codeine,Drug Use
Orphenadrine Citrate CR,Essential Hypertension
Xenaderm,Essential Hypertension
Atrovent HFA,Alcohol Use
Calcitonin (Salmon),Drug Use
Zymar,Allergic Rhinitis
LamoTRIgine,Hypertension
Savella,Hypertension
Stalevo 125,Stroke Syndrome
Novofine 31,Hypothyroidism
PrimaCare,Hypothyroidism
Humulin L,Drug Use
Elestat,Occupation:
Fortamet,Hysterectomy
Nisoldipine,Diabetes Mellitus
Promethazine-Codeine,Alcohol Use
Tylenol with Codeine #3,Alcohol Use
Dyazide,Drug Use
Bayer Breeze 2 Test,Drug Use
Plan B,Drug Use
Imipramine HCl,Allergic Rhinitis
Seasonale,Allergic Rhinitis
Tindamax,Drug Use
Sildenafil Citrate,Child Enrolled In Day-care
Tylenol PM Extra Strength,Normal Routine History And Physical Geriatric (80 +)
Alpha Lipoic Acid,Alcohol Use
Tikosyn,Alcohol Use
Acetamin,Diabetes Mellitus
ReliOn Insulin Syringe,Diabetes Mellitus
Sinemet,Depression
Permethrin Lice Treatment,Diabetes Mellitus
Integra Plus,Alcohol
Vitamin B-1,Depression
Integra F,Alcohol
Lo Loestrin Fe,Alcohol
Urso 250,Alcohol
TobraDex,Alcohol Use
Caltrate 600 + D,Coronary Artery Disease
FreeStyle Freedom Lite,Tobacco Use
Lotensin HCT,Tobacco Use
Reclast,Hyperlipidemia
Tylenol PM Extra Strength,Hyperlipidemia
Megace ES,Essential Hypertension
Omega-3 Fish Oil,Essential Hypertension
Oxytrol,Essential Hypertension
Metanx,Diabetes Mellitus
Flax Seed Oil,Occupation:
Citracal + D,Drug Use
Migranal,Alcohol
Vitamins C E,Alcohol
Tandem Plus,Alcohol
TobraDex,Occupation:
ClonazePAM ODT,Tobacco Use
Ditropan XL,Depression
Ammonium Lactate,Stroke Syndrome
Humulin L,Hyperlipidemia
Integra F,Tobacco Use
Urso 250,Tobacco Use
Ceftin,Asthma
Trizivir,Asthma
Entex PSE,Acute Upper Respiratory Infection
Zinc,Normal Routine History And Physical Geriatric (80 +)
Levora 0.15/30 (28),Drug Use
Auralgan,Essential Hypertension
Plan B,Allergic Rhinitis
Astepro,Essential Hypertension
Multaq,Never Smoked
AMILoride HCl,Appendectomy
Symlin,Appendectomy
Lisinopril-HCTZ,Tonsillectomy
Promethegan,Alcohol
Famciclovir,Drug Use
DiphenhydrAMINE HCl,Tobacco Use
Chlorthalidone,Obesity
Dulcolax Stool Softener,Hypertension
Betamethasone Valerate,Alcohol
Doxy-Caps,Esophageal Reflux
Cheratussin DAC,Drug Use
Glucosamine 1500 Complex,Drug Use
Armour Thyroid,Diabetes Mellitus
Megestrol Acetate,Drug Use
Zaleplon,Hyperlipidemia
Bayer Low Strength,Hypertension
Zaroxolyn,Hypertension
Tikosyn,Normal Routine History And Physical Geriatric (80 +)
Butalbital-ASA-Caffeine,Depression
Clonidine Patch,Depression
Pilocarpine HCl,Depression
Senna,Tobacco Use
Gentian Violet,Hypertension
Integra Plus,Hypertension
BusPIRone HCl,Diabetes Mellitus
Avandia,Occupation:
Promethazine-Codeine,Diabetes Mellitus
Accu-Chek Advantage Test,Hypothyroidism
Lancets Thin,Hypothyroidism
Neomycin-Polymyxin-Dexameth,Heart Disease
Bisacodyl EC,Tobacco Use
Retrovir,Anemia
Aviane,Alcohol
Hydrea,Alcohol
Caltrate 600 Plus-Vit D,Diabetes Mellitus
Tandem Plus,Diabetes Mellitus
Robaxin-750,Alcohol
Prenate Elite,Tobacco Use
Amitiza,Hypertension
Betimol,Tobacco Use
Cortisporin,Tobacco Use
Fosamax Plus D,Hypertension
Chlorthalidone,Tobacco Use
Caltrate 600 + D,Alcohol Use
Zestril,Esophageal Reflux
Macrodantin,Drug Use
Frova,Hysterectomy
Miacalcin,Hysterectomy
Bisacodyl EC,Alcohol
Folbic,Tobacco Use
Naprelan,Ankle Joint Pain
Caltrate 600 + D,Occupation:
Remeron,Coronary Artery Disease
Seasonique,Diabetes Mellitus
Viracept,Allergic Rhinitis
Pyridostigmine Bromide,Essential Hypertension
Progesterone Micronized,Drug Use
Qualaquin,Drug Use
Brimonidine Tartrate,Drug Use
Caltrate 600 Plus-Vit D,Drug Use
Nevanac,Drug Use
Tandem Plus,Drug Use
Bayer Low Strength,Heart Disease
Pepcid Complete,Hyperlipidemia
Alavert,Alcohol
Ethambutol HCl,Anemia
Carbidopa-Levodopa CR,Drug Use
Misoprostol,Diabetes Mellitus
Azopt,Tobacco Use
Vancomycin HCl,Heart Disease
Necon 7/7/7,Alcohol
Opana ER,Hypertension
Garlic,Tobacco Use
Co Q10,Alcohol
Saw Palmetto,Alcohol
Ascensia Autodisc Test,Drug Use
Darvocet A500,Drug Use
Calcitonin (Salmon),Benign Essential Hypertension
Fish Oil Concentrate,Benign Essential Hypertension
Cerefolin,Normal Routine History And Physical Geriatric (80 +)
Stalevo 125,Normal Routine History And Physical Geriatric (80 +)
Naphcon-A,Drug Use
Imipramine HCl,Diabetes Mellitus
Lanoxin,Hypertension
Suprax,Hypertension
Hydrocortisone Valerate,Coronary Artery Disease
Nitrofurantoin,Hypertension
Acebutolol HCl,Essential Hypertension
Promethazine VC/Codeine,Essential Hypertension
Hydrea,Hypertension
Nebulizer/Tubing/Mouthpiece,Hypertension
Sennosides,Hypertension
MiraLax,Drug Use
Ibuprofen 200,Occupation:
Multivitamin/Iron,Occupation:
Diovan 320/25 CAPS,Esophageal Reflux
Glucotrol XL,Benign Essential Hypertension
Zestril,Normal Routine History And Physical Geriatric (80 +)
Travatan Z,Stroke Syndrome
Systane,Essential Hypertension
Nitrolingual,Alcohol Use
Indomethacin CR,Stroke Syndrome
Clindamycin Palmitate HCl,Coronary Artery Disease
CefTAZidime,Esophageal Reflux
Nystop,Hyperlipidemia
PEG 3350/Electrolytes,Hyperlipidemia
Oxistat,Asthma
Tobramycin-Dexamethasone,Allergic Rhinitis
Toviaz,Marital History - Currently Married
Guaifenesin PSE,Tobacco Use
Iodosorb,Tobacco Use
Repliva 21/7,Drug Use
Bisoprolol-Hydrochlorothiazide,Alcohol Use
Reclipsen,Diabetes Mellitus
Delsym,Asthma
Lomotil,Stroke Syndrome
Tazorac,Alcohol
Acular LS,Heart Disease
Bisoprolol-Hydrochlorothiazide,Occupation:
Accu-Chek Active Care Kit,Allergic Rhinitis
Calcium Acetate,Diabetes Mellitus
Levocetirizine Dihydrochloride,Diabetes Mellitus
Tobramycin-Dexamethasone,Hypertension
Nabumetone,Diabetes Mellitus
Icar,Migraine Headache
Liothyronine Sodium,Hyperlipidemia
Tysabri,Tobacco Use
Caltrate 600 Plus-Vit D,Normal Routine History And Physical Geriatric (80 +)
DynaCirc,Hyperlipidemia
Albuterol Sulfate HFA,Drug Use
Estring,Drug Use
Novofine 31,Drug Use
Tamoxifen Citrate,Hyperlipidemia
Seasonale,Hypothyroidism
Neomycin-Polymyxin-HC,Asthma
Macrodantin,Alcohol
Acular LS,Hypothyroidism
Carbidopa-Levodopa CR,Stroke Syndrome
Atrovent,Tobacco Use
Phenytoin Sodium,Tobacco Use
Lortab,Diabetes Mellitus
Sudafed 12 Hour,Migraine Headache
Calcium 500/Vitamin D,Hypertension
InnoPran XL,Hypertension
Flovent Diskus,Benign Essential Hypertension
BuPROPion HCl (Smoking Deter),Alcohol
Chlorpheniramine-Phenylephrine,Tobacco Use
Cortic-ND,Tobacco Use
Lancets Ultra Thin,Alcohol
Calcium + D + K,Hypothyroidism
Livalo,Hypothyroidism
Dorzolamide HCl-Timolol Mal,Anemia
Zidovudine,Anemia
NIFEdipine CR,Hyperlipidemia
Galantamine Hydrobromide,Stroke Syndrome
Robaxin,Stroke Syndrome
Dyazide,Marital History - Currently Married
Niacin CR,Alcohol
Glucotrol,Tobacco Use
Apidra,Drug Use
Sotalol HCl,Occupation:
HumaLOG Mix 75/25 KwikPen,Occupation:
Polyethylene Glycol,Hyperlipidemia
Cod Liver Oil,Drug Use
Propoxyphene-APAP,Drug Use
Isoniazid,Alcohol
Guaifenesin 600/PSE 120,Benign Essential Hypertension
Inderal LA,Essential Hypertension
Ciclopirox Olamine,Alcohol
Omacor,Alcohol Use
Fluocinolone Acetonide,Anemia
Invega,Alcohol
Levora 0.15/30 (28),Hypertension
Naprelan,Hyperlipidemia
Anusol,Hypertension
Co Q 10,Diabetes Mellitus
Androderm,Hypothyroidism
ChlordiazePOXIDE HCl,Hypothyroidism
Lidocaine HCl,Diabetes Mellitus
ReliOn Insulin Syringe,Benign Essential Hypertension
Reclast,Coronary Artery Disease
Hydrocodone-Homatropine,Allergic Rhinitis
Ciprofloxacin,Essential Hypertension
Pyridoxine HCl,Drug Use
Prenatal Care,Alcohol Use
Ovidrel,Marital History - Currently Married
Garlic,Marital History - Currently Married
Guiatuss AC,Marital History - Currently Married
Thiamine HCl,Diabetes Mellitus
Lescol XL,Acute Upper Respiratory Infection
OneTouch Lancets,Allergic Rhinitis
AzaSite,Esophageal Reflux
Quinapril-Hydrochlorothiazide,Drug Use
Mucinex DM Maximum Strength,Occupation:
Saw Palmetto,Heart Disease
Sudafed 12 Hour,Heart Disease
Taclonex,Heart Disease
Lodine,Stroke Syndrome
Ziac,Occupation:
Tikosyn,Coronary Artery Disease
Triazolam,Drug Use
Bentyl,Esophageal Reflux
Ketoprofen,Hypertension
MonoNessa,Hypertension
Bentyl,Alcohol Use
Phentermine HCl,Alcohol Use
Mevacor,Essential Hypertension
Pepcid AC,Asthma
Imodium,Alcohol Use
Cheratussin DAC,Alcohol
Vitamin B12 TR,Hypertension
Prinivil,Drug Use
Ultracet,Drug Use
Arthrotec,Allergic Rhinitis
Ziagen,Tonsillectomy
Cenestin,Alcohol
Butalbital-APAP-Caff-Cod,Tobacco Use
Fosamax Plus D,Normal Routine History And Physical Geriatric (80 +)
Budeprion SR,Tobacco Use
BiPAP,Diabetes Mellitus
Diamox,Hypertension
Calcium Acetate,Essential Hypertension
ChlordiazePOXIDE HCl,Essential Hypertension
Zaleplon,Tonsillectomy
Orapred ODT,Allergic Rhinitis
Vitamin B12,Alcohol Use
Kionex,Hypothyroidism
Cytra-2,Hyperlipidemia
BD Ultra-Fine Needles 31 guage,Anemia
Duragesic-50,Diabetes Mellitus
Humulin L,Tobacco Use
Alavert,Obesity
Androderm,Obesity
Antivert,Hysterectomy
Fiber,Hysterectomy
Histinex HC,Alcohol Use
Cefpodoxime Proxetil,Allergic Rhinitis
Oxytrol,Heart Disease
Doc-Q-Lace,Occupation:
Kariva,Occupation:
Estroven,Occupation:
B Complex,Drug Use
Magnesium Citrate,Drug Use
Walker,Hypothyroidism
Mucinex DM,Hypothyroidism
Claritin Reditabs,Obesity
Tarka,Obesity
Calcium 500+D,Alcohol
Ultram ER,Hyperlipidemia
Sotalol HCl (AF),Normal Routine History And Physical Geriatric (80 +)
Aspir-Mox IB,Coronary Artery Disease
Imdur,Occupation:
Uloric,Esophageal Reflux
Requip,Occupation:
Seasonale,Occupation:
Phenytoin Sodium,Hyperlipidemia
Fioricet,Alcohol
Vitamin D-3,Alcohol
Caltrate 600+D,Tobacco Use
Zofran,Essential Hypertension
Nephro-Vite,Hypertension
Asacol,Hyperlipidemia
MethylPREDNISolone Sodium Succ,Marital History - Currently Married
Zyvox,Drug Use
Cranberry,Hyperlipidemia
RisperDAL,Diabetes Mellitus
Tandem,Type II Diabetes Mellitus
Wheelchair,Type II Diabetes Mellitus
Lubriderm,Anemia
Excedrin,Exercising Regularly
Chromium Picolinate,Alcohol
Clarinex-D 24 Hour,Alcohol
Estraderm,Alcohol
Haloperidol,Essential Hypertension
Doc-Q-Lace,Stroke Syndrome
Echinacea,Alcohol
Hyoscyamine Sulfate CR,Hypertension
Betimol,Esophageal Reflux
Ciprofloxacin-Ciproflox HCl,Essential Hypertension
Viread,Essential Hypertension
Epivir,Tobacco Use
Mirapex ER,Essential Hypertension
Viracept,Essential Hypertension
Morphine Sulfate CR,Hyperlipidemia
Savella,Depression
Acetaminophen-Codeine #4,Benign Essential Hypertension
Senna-Docusate Sodium,Benign Essential Hypertension
Wheelchair,Benign Essential Hypertension
Halobetasol Propionate,Marital History - Currently Married
Tessalon Perles,Marital History - Currently Married
Inderal,Hyperlipidemia
Nitrolingual,Marital History - Currently Married
Levsin,Tobacco Use
Caltrate 600+D,Diabetes Mellitus
Aluminum Chloride,Allergic Rhinitis
Aurodex,Allergic Rhinitis
Chromagen FA,Allergic Rhinitis
Xolair,Allergic Rhinitis
BD Insulin Syringe MicroFine,Hypertension
Arimidex,Occupation:
Cheratussin DAC,Tobacco Use
Opana ER,Stroke Syndrome
Qualaquin,Essential Hypertension
Sulindac,Alcohol
Ritalin,Drug Use
Dyazide,Stroke Syndrome
Anusol,Drug Use
Loratadine-D 24HR,Drug Use
Cipro HC,Asthma
Carbidopa-Levodopa,Hyperlipidemia
Butalbital-ASA-Caffeine,Stroke Syndrome
Diltiazem HCl ER Beads,Stroke Syndrome
Bicillin C-R,Diabetes Mellitus
Reclipsen,Breast Cancer
Citracal + D,Tobacco Use
Ferrous Gluconate,Asthma
Dulcolax,Diabetes Mellitus
Haloperidol,Tobacco Use
Rena-Vite,Hyperlipidemia
Betimol,Normal Routine History And Physical Geriatric (80 +)
Systane,Normal Routine History And Physical Geriatric (80 +)
Ketek,Tobacco Use
Alli,Diabetes Mellitus
OneTouch Delica Lancets,Diabetes Mellitus
Provera,Drug Use
Iron Supplement,Hypothyroidism
Synvisc One,Hypothyroidism
Sonata,Benign Essential Hypertension
Ferrous Fumarate,Hysterectomy
Cipro HC,Essential Hypertension
Treximet,Essential Hypertension
Calcitriol,Occupation:
OB-Natal One,Tobacco Use
Indomethacin CR,Alcohol Use
Fiber,Tobacco Use
Dorzolamide HCl,Hyperlipidemia
Lecithin,Hyperlipidemia
Stalevo 125,Hyperlipidemia
Tenormin,Esophageal Reflux
Copaxone,Diabetes Mellitus
Toviaz,Esophageal Reflux
Androderm,Tonsillectomy
Toviaz,Tobacco Use
Lithium Carbonate,Hyperlipidemia
Bactrim,Tobacco Use
Depakote ER,Diabetes Mellitus
Kadian,Diabetes Mellitus
Pred Forte,Alcohol Use
Calan SR,Hypertension
Pulmicort Flexhaler,Hyperlipidemia
Micardis,Alcohol Use
Robaxin-750,Hypertension
Medrol,Migraine Headache
Accuretic,Drug Use
Ester C,Drug Use
Iquix,Drug Use
Diltiazem CD,Alcohol Use
Prograf,Alcohol
Zomig,Alcohol Use
Santyl,Essential Hypertension
Daypro,Alcohol
Vitamin D-400,Alcohol
Veramyst,Alcohol
Zantac 150 Maximum Strength,Drug Use
Bayer Aspirin,Normal Routine History And Physical Geriatric (80 +)
Zomig,Occupation:
Tessalon Perles,Asthma
Androderm,Tobacco Use
Methimazole,Hyperlipidemia
RisperiDONE,Hypertension
Robaxin-750,Hypothyroidism
Tandem,Hypothyroidism
DHA Complete,Drug Use
Implanon,Drug Use
Nutrifocus,Drug Use
Razadyne,Drug Use
Robafen AC,Drug Use
SM Vitamin B-6,Drug Use
Aspirin CR,Alcohol
ISOtretinoin,Alcohol
Propoxyphene-APAP,Alcohol
Symlin Pen 120,Alcohol
Selenium Sulfide,Tobacco Use
Flagyl,Alcohol
Multaq,Alcohol Use
Handicap Parking,Tobacco Use
Dulcolax,Coronary Artery Disease
Calcium 600,Stroke Syndrome
GlipiZIDE-MetFORMIN HCl,Occupation:
Isentress,Occupation:
Multaq,Occupation:
Calcium 500,Marital History - Currently Married
Apidra SoloStar,Hyperlipidemia
Aspir-Trin,Hyperlipidemia
Betamethasone Dipropionate Aug,Allergic Rhinitis
Macrodantin,Normal Routine History And Physical Geriatric (80 +)
Advil Junior Strength,Hyperlipidemia
Vitamin A & D,Hyperlipidemia
Tequin,Hysterectomy
Niacin CR,Diabetes Mellitus
Pradaxa,Diabetes Mellitus
Probenecid,Anemia
Testosterone Enanthate,Benign Essential Hypertension
Xibrom,Coronary Artery Disease
Coenzyme Q-10,Obesity
Didanosine,Allergic Rhinitis
Ritalin,Hyperlipidemia
Tobramycin,Never Smoked
Betaseron,Hypertension
Plaquenil,Drug Use
Vaniqa,Essential Hypertension
Vivelle,Depression
Senna,Alcohol
Propoxyphene HCl,Diabetes Mellitus
SMZ-TMP DS,Marital History - Currently Married
Epivir,Hyperlipidemia
Mucinex D,Diabetes Mellitus
Analpram-HC Singles,Tobacco Use
Peak Flow Meter,Tobacco Use
Propoxyphene-APAP,Tobacco Use
Verapamil HCl,Alcohol Use
Imuran,Tobacco Use
Co Q 10,Normal Routine History And Physical Geriatric (80 +)
